year,mean_cell_exceedance_class,dominant_gridcell_decision,Province,District,mean_exceedance_probability,area_prop_yes,area_prop_uncertain,area_prop_no,decision_valid_raster_area_km2,decision_aggregation_method,decision_fallback_distance_km,decision_fallback_cell_longitude,decision_fallback_cell_latitude,mean_exceedance_probability_pct,area_pct_yes,area_pct_uncertain,area_pct_no
2007,Uncertain,Yes,Niassa,N'gaúma,0.7462614364725301,0.6982044104469947,0.18807774241750969,0.11371784713549608,2965.1330483149395,area_weighted_exact,NA,NA,NA,74.626143647253,69.82044104469946,18.80777424175097,11.371784713549609
2007,Yes,Yes,Niassa,Nipepe,0.8798209979904764,0.8504982765240606,0.1495017234759382,0,5000.3399270554955,area_weighted_exact,NA,NA,NA,87.98209979904765,85.04982765240607,14.95017234759382,0
2007,Uncertain,Uncertain,Niassa,Sanga,0.7008396569655108,0.33282375633728856,0.6530986215411566,0.014077622121553834,12270.233129848348,area_weighted_exact,NA,NA,NA,70.08396569655108,33.282375633728854,65.30986215411566,1.4077622121553834
2007,Uncertain,Uncertain,Sofala,Beira,0.5100966335497481,0.31610549544273064,0.39079546602173487,0.29309903853553426,598.8563829168409,area_weighted_exact,NA,NA,NA,51.00966335497481,31.610549544273063,39.07954660217349,29.309903853553426
2007,Uncertain,Yes,Sofala,Búzi,0.7690340308548834,0.5466368551091448,0.43702678879190676,0.016336356098947364,7079.746341075405,area_weighted_exact,NA,NA,NA,76.90340308548834,54.66368551091448,43.70267887919068,1.6336356098947364
2007,Uncertain,Yes,Sofala,Caia,0.7779147666415469,0.5162838569477481,0.4681313365603971,0.01558480649185273,3583.8748999644604,area_weighted_exact,NA,NA,NA,77.79147666415469,51.62838569477481,46.81313365603971,1.558480649185273
2007,Uncertain,Uncertain,Sofala,Chemba,0.5441274907169367,0.21262629834241176,0.7147712277511935,0.07260247390639432,3977.6398538789254,area_weighted_exact,NA,NA,NA,54.41274907169367,21.262629834241174,71.47712277511935,7.2602473906394325
2007,Yes,Yes,Sofala,Cheringoma,0.8765386732748409,0.8768208994077779,0.12317910059222169,0,7064.296502085632,area_weighted_exact,NA,NA,NA,87.6538673274841,87.68208994077779,12.317910059222168,0
2007,Yes,Yes,Sofala,Chibabava,0.81617175986066,0.5919261881067541,0.40807381189324815,0,6994.928333987966,area_weighted_exact,NA,NA,NA,81.617175986066,59.19261881067541,40.807381189324815,0
2007,Yes,Yes,Sofala,Dondo,0.9033008065943817,0.8872261252517638,0.10006025318850884,0.012713621559726931,2279.8842014001402,area_weighted_exact,NA,NA,NA,90.33008065943817,88.72261252517639,10.006025318850883,1.271362155972693
